Size,Bedrooms,Bathrooms,Lat,Long,Amenities_Score,BedtoBath_Ratio,Furnished,Apartment,Duplex,Penthouse,Room,Studio,TotalRooms,Level_category,accessibility_score
150,3,3,42.3040807,-74.01013495333201,4,1.0,0,1,0,0,0,0,6,0,0
162,3,3,30.063584,31.4889939,9,1.0,0,1,0,0,0,0,6,1,1
319,3,3,30.02362815,31.304425051498075,12,1.0,0,1,0,0,0,0,6,0,0
89,2,2,30.063584,31.4889939,12,1.0,1,1,0,0,0,0,4,0,0
155,3,3,30.063584,31.4889939,12,1.0,1,1,0,0,0,0,6,0,0
270,3,3,30.02362815,31.304425051498075,10,1.0,0,0,1,0,0,0,6,0,0
120,2,1,30.0521177,31.3422045,8,0.5,1,1,0,0,0,0,3,0,0
104,3,2,30.093319,31.63791604173324,5,0.6666666666666666,1,1,0,0,0,0,5,0,0
142,2,2,30.0244139,31.53830014902532,11,1.0,0,1,0,0,0,0,4,0,0
90,3,1,29.9345933,31.2807256,3,0.3333333333333333,0,1,0,0,0,0,4,1,2
65,2,1,30.149150650000003,31.629114053470285,6,0.5,1,1,0,0,0,0,3,0,0
208,3,3,30.051086,31.53707949499285,9,1.0,0,1,0,0,0,0,6,0,0
150,2,2,30.1005985,31.3329136,11,1.0,1,1,0,0,0,0,4,0,0
110,2,1,30.0521177,31.3422045,7,0.5,1,1,0,0,0,0,3,1,1
140,3,3,30.1235742,31.72458563288973,1,1.0,1,1,0,0,0,0,6,1,2
170,2,2,29.952888,31.2634764531612,9,1.0,1,0,1,0,0,0,4,0,0
118,1,1,30.0632671,31.4544799,3,1.0,1,1,0,0,0,0,2,0,0
140,2,1,30.1005985,31.3329136,9,0.5,1,1,0,0,0,0,3,1,1
100,2,1,30.063584,31.4889939,8,0.5,1,1,0,0,0,0,3,0,0
145,2,2,42.3040807,-74.01013495333201,5,1.0,1,1,0,0,0,0,4,0,0
148,2,2,30.0244139,31.53830014902532,7,1.0,1,1,0,0,0,0,4,0,0
78,2,1,30.093319,31.63791604173324,6,0.5,0,1,0,0,0,0,3,1,1
310,4,4,30.0123303,31.51555386421819,8,1.0,0,0,1,0,0,0,8,1,1
200,3,3,30.0632671,31.4544799,1,1.0,0,1,0,0,0,0,6,1,1
90,2,1,30.063584,31.4889939,5,0.5,0,1,0,0,0,0,3,0,0
160,2,2,30.0632671,31.4544799,9,1.0,1,1,0,0,0,0,4,0,0
200,3,2,30.0632671,31.4544799,9,0.6666666666666666,1,1,0,0,0,0,5,0,0
135,3,1,42.3040807,-74.01013495333201,5,0.3333333333333333,1,1,0,0,0,0,4,0,0
144,2,2,30.0244139,31.53830014902532,5,1.0,1,1,0,0,0,0,4,0,0
200,3,3,30.063584,31.4889939,9,1.0,1,1,0,0,0,0,6,0,0
225,3,3,30.1005985,31.3329136,5,1.0,1,1,0,0,0,0,6,1,1
90,2,1,30.063584,31.4889939,5,0.5,1,1,0,0,0,0,3,0,0
81,2,1,30.093319,31.63791604173324,6,0.5,1,1,0,0,0,0,3,0,0
140,3,3,30.0521177,31.3422045,9,1.0,1,1,0,0,0,0,6,1,1
80,1,1,30.0632671,31.4544799,10,1.0,1,0,0,0,0,1,2,0,0
105,2,2,29.8500001,31.333333,5,1.0,1,1,0,0,0,0,4,1,1
300,4,3,29.9597112,31.258077057336912,7,0.75,0,0,1,0,0,0,7,0,0
170,2,1,29.9597112,31.258077057336912,5,0.5,0,1,0,0,0,0,3,1,1
105,2,1,29.9597112,31.258077057336912,8,0.5,1,1,0,0,0,0,3,0,0
105,2,1,29.9647127,31.2825293,7,0.5,1,1,0,0,0,0,3,0,0
150,3,2,14.727433,121.0071315,9,0.6666666666666666,1,1,0,0,0,0,5,0,0
103,2,2,30.093319,31.63791604173324,5,1.0,1,1,0,0,0,0,4,0,0
150,2,2,30.0521177,31.3422045,14,1.0,1,1,0,0,0,0,4,0,0
119,3,3,30.063584,31.4889939,8,1.0,0,1,0,0,0,0,6,1,1
100,2,1,30.063584,31.4889939,7,0.5,1,1,0,0,0,0,3,0,0
256,4,4,30.01949485,31.493020085928507,9,1.0,0,1,0,0,0,0,8,0,0
104,3,2,30.093319,31.63791604173324,11,0.6666666666666666,1,1,0,0,0,0,5,0,0
130,3,1,30.0521177,31.3422045,9,0.3333333333333333,1,1,0,0,0,0,4,1,1
120,2,1,29.9680141,31.2491432,7,0.5,0,1,0,0,0,0,3,0,0
165,3,2,30.1075622,31.40870574519208,7,0.6666666666666666,1,1,0,0,0,0,5,0,0
140,3,2,30.093319,31.63791604173324,6,0.6666666666666666,0,1,0,0,0,0,5,1,1
90,2,1,30.063584,31.4889939,9,0.5,1,1,0,0,0,0,3,0,0
140,2,1,30.0371732,31.504690351364992,10,0.5,1,1,0,0,0,0,3,0,0
155,3,3,30.063584,31.4889939,9,1.0,1,1,0,0,0,0,6,0,0
90,2,1,30.093319,31.63791604173324,1,0.5,1,1,0,0,0,0,3,0,0
120,3,1,30.14120045,31.6491646160278,8,0.3333333333333333,0,1,0,0,0,0,4,0,0
170,3,2,30.0521177,31.3422045,8,0.6666666666666666,1,0,0,0,1,0,5,0,0
130,3,1,30.0887612,31.2898195,4,0.3333333333333333,0,1,0,0,0,0,4,1,2
150,2,1,30.1005985,31.3329136,9,0.5,1,1,0,0,0,0,3,2,2
193,3,2,29.9865446,31.552985,9,0.6666666666666666,1,1,0,0,0,0,5,1,1
50,1,1,30.093319,31.63791604173324,9,1.0,1,0,0,0,0,1,2,0,0
120,2,1,29.9575315,31.719946,8,0.5,1,1,0,0,0,0,3,2,2
170,3,2,42.3040807,-74.01013495333201,7,0.6666666666666666,0,1,0,0,0,0,5,0,0
120,3,1,30.0521177,31.3422045,7,0.3333333333333333,0,1,0,0,0,0,4,1,1
130,3,1,30.1442089,31.3601851,4,0.3333333333333333,0,1,0,0,0,0,4,1,2
175,4,3,30.0632671,31.4544799,7,0.75,1,1,0,0,0,0,7,0,0
220,3,3,30.0521177,31.3422045,5,1.0,1,1,0,0,0,0,6,0,0
150,3,2,42.3040807,-74.01013495333201,2,0.6666666666666666,0,1,0,0,0,0,5,0,0
136,3,2,30.063584,31.4889939,10,0.6666666666666666,1,1,0,0,0,0,5,0,0
140,3,2,30.093319,31.63791604173324,6,0.6666666666666666,0,1,0,0,0,0,5,0,0
100,3,1,30.1442089,31.3601851,3,0.3333333333333333,0,1,0,0,0,0,4,1,2
154,3,2,30.00579785,31.537649320922903,1,0.6666666666666666,0,1,0,0,0,0,5,0,0
200,2,1,30.0521177,31.3422045,8,0.5,1,1,0,0,0,0,3,1,1
119,3,3,30.063584,31.4889939,9,1.0,0,1,0,0,0,0,6,0,0
190,3,2,42.3040807,-74.01013495333201,9,0.6666666666666666,0,1,0,0,0,0,5,0,0
200,3,2,42.3040807,-74.01013495333201,7,0.6666666666666666,0,1,0,0,0,0,5,0,0
163,3,2,30.1005985,31.3329136,7,0.6666666666666666,0,1,0,0,0,0,5,2,2
120,3,1,30.1005985,31.3329136,8,0.3333333333333333,1,1,0,0,0,0,4,0,0
135,3,2,30.093319,31.63791604173324,6,0.6666666666666666,0,1,0,0,0,0,5,1,1
131,3,2,30.063584,31.4889939,8,0.6666666666666666,0,1,0,0,0,0,5,1,1
116,3,2,30.093319,31.63791604173324,5,0.6666666666666666,0,1,0,0,0,0,5,0,0
90,2,1,30.1304761,31.3167491,4,0.5,0,1,0,0,0,0,3,2,2
190,3,3,30.00579785,31.537649320922903,8,1.0,0,1,0,0,0,0,6,0,0
270,3,3,30.05545955,31.21963165579828,4,1.0,1,1,0,0,0,0,6,1,2
140,3,2,30.093319,31.63791604173324,6,0.6666666666666666,0,1,0,0,0,0,5,0,0
162,3,3,30.063584,31.4889939,11,1.0,0,1,0,0,0,0,6,0,0
200,3,3,30.0632671,31.4544799,13,1.0,1,1,0,0,0,0,6,0,0
103,3,2,30.093319,31.63791604173324,7,0.6666666666666666,0,1,0,0,0,0,5,0,0
96,2,2,30.093319,31.63791604173324,9,1.0,1,1,0,0,0,0,4,1,1
160,3,1,30.12475835,31.370071774421465,7,0.3333333333333333,0,1,0,0,0,0,4,2,2
150,2,2,30.1075622,31.40870574519208,9,1.0,1,1,0,0,0,0,4,1,1
150,3,2,30.051086,31.53707949499285,4,0.6666666666666666,0,1,0,0,0,0,5,0,0
140,3,2,30.093319,31.63791604173324,3,0.6666666666666666,1,1,0,0,0,0,5,1,2
70,2,1,30.093319,31.63791604173324,8,0.5,1,1,0,0,0,0,3,0,0
150,3,2,30.0632671,31.4544799,8,0.6666666666666666,1,1,0,0,0,0,5,0,0
180,2,2,30.0632671,31.4544799,7,1.0,0,1,0,0,0,0,4,0,0
175,3,3,30.093319,31.63791604173324,6,1.0,0,1,0,0,0,0,6,0,0
150,2,2,30.1005985,31.3329136,12,1.0,1,1,0,0,0,0,4,0,0
106,3,2,30.093319,31.63791604173324,8,0.6666666666666666,1,1,0,0,0,0,5,0,0
89,2,2,30.063584,31.4889939,9,1.0,1,1,0,0,0,0,4,0,0
180,3,3,30.063584,31.4889939,5,1.0,0,1,0,0,0,0,6,0,0
130,3,1,30.0521177,31.3422045,9,0.3333333333333333,1,1,0,0,0,0,4,0,0
90,1,1,30.0694563,31.65694751539074,13,1.0,1,0,0,0,0,1,2,0,0
96,2,2,30.093319,31.63791604173324,8,1.0,1,1,0,0,0,0,4,1,1
170,2,2,30.0327599,31.4471519,7,1.0,1,1,0,0,0,0,4,0,0
250,2,2,30.0632671,31.4544799,3,1.0,0,1,0,0,0,0,4,0,0
175,3,2,30.0632671,31.4544799,13,0.6666666666666666,1,1,0,0,0,0,5,0,0
100,2,2,42.3040807,-74.01013495333201,13,1.0,1,1,0,0,0,0,4,0,0
220,4,2,30.0632671,31.4544799,13,0.5,1,1,0,0,0,0,6,0,0
165,3,3,30.0653358,31.52110655330324,8,1.0,0,1,0,0,0,0,6,0,0
143,2,3,42.3040807,-74.01013495333201,9,1.5,1,0,1,0,0,0,5,1,1
162,3,2,30.063584,31.4889939,6,0.6666666666666666,1,1,0,0,0,0,5,1,1
106,3,2,30.093319,31.63791604173324,8,0.6666666666666666,1,1,0,0,0,0,5,0,0
235,3,2,30.01917005,31.503741305690617,10,0.6666666666666666,0,1,0,0,0,0,5,0,0
90,2,1,30.063584,31.4889939,10,0.5,1,1,0,0,0,0,3,0,0
99,2,1,30.063584,31.4889939,5,0.5,0,1,0,0,0,0,3,0,0
65,1,1,30.063584,31.4889939,6,1.0,0,0,0,0,0,1,2,0,0
305,3,3,30.063584,31.4889939,10,1.0,0,1,0,0,0,0,6,1,1
111,2,1,30.093319,31.63791604173324,8,0.5,0,1,0,0,0,0,3,0,0
90,2,2,30.093319,31.63791604173324,6,1.0,0,1,0,0,0,0,4,0,0
133,3,2,30.093319,31.63791604173324,3,0.6666666666666666,0,1,0,0,0,0,5,0,0
119,3,3,30.063584,31.4889939,7,1.0,0,1,0,0,0,0,6,0,0
70,2,1,42.3040807,-74.01013495333201,7,0.5,0,1,0,0,0,0,3,0,0
