HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool,Lat,Long
Apartment,45000,300,3,3,2,1,New Cairo,Cairo,1,1,1,1,1,1,1,1,1,0,1,1,0,0,42.3040807,-74.01013495333201
Apartment,16000,131,3,2,4,0,Rehab City,Cairo,1,0,0,1,1,1,0,1,0,0,0,0,0,0,30.063584,31.4889939
Apartment,49000,150,2,3,3,1,Cairo Festival City,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,0,0,30.026992800000002,31.40906325945414
Apartment,35000,180,3,3,2,0,New Cairo,Cairo,0,0,0,1,1,0,0,1,0,1,1,0,0,0,42.3040807,-74.01013495333201
Apartment,35000,150,2,3,0,1,New Cairo,Cairo,0,1,0,1,1,0,0,1,1,1,0,1,0,0,42.3040807,-74.01013495333201
Apartment,25000,152,2,3,3,1,Katameya Plaza,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,0,0,30.018619,31.42209475580205
Penthouse,20000,156,2,2,4,1,Fifth Square,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,0,0,30.051085999999998,31.537079494992852
Duplex,26000,150,2,3,3,1,Porto New Cairo,Cairo,0,1,0,1,1,0,0,1,1,1,1,0,1,0,30.0641413,31.42413429130798
Apartment,13000,99,2,1,3,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,0,1,0,0,0,30.063584,31.4889939
Penthouse,80000,345,3,3,4,0,Lake view Residence,Cairo,1,1,1,0,1,1,1,1,1,1,0,0,1,0,30.0244139,31.538300149025318
Apartment,45000,193,3,2,5,1,Hyde Park New Cairo,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0,29.9865446,31.552985
Apartment,18000,170,3,2,3,1,New Cairo,Cairo,1,1,1,0,1,0,1,1,1,0,1,0,0,1,42.3040807,-74.01013495333201
Apartment,9500,84,2,1,4,0,Madinaty,Cairo,1,0,1,1,1,0,1,1,0,0,0,0,0,0,30.093319,31.63791604173324
Duplex,18000,320,4,3,2,0,5th Settlement,Cairo,1,1,1,1,1,1,1,1,0,1,1,1,1,0,30.0632671,31.4544799
Apartment,18000,200,3,2,1,0,New Cairo,Cairo,1,1,1,1,1,1,1,0,1,1,0,0,0,0,42.3040807,-74.01013495333201
Apartment,18000,175,3,2,1,1,Nasr City,Cairo,1,1,1,0,1,1,0,1,0,0,0,1,0,0,30.0521177,31.3422045
Apartment,25000,90,2,1,0,1,Rehab City,Cairo,1,1,1,0,1,1,0,1,0,0,0,1,0,0,30.063584,31.4889939
Apartment,16000,14,3,2,1,0,One Kattameya,Cairo,1,0,1,0,0,1,1,0,0,1,1,1,0,1,29.98060935,31.356154220923457
Apartment,35000,300,4,3,6,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,45000,370,4,3,10,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,50000,350,4,3,10,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,40000,300,4,3,1,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Studio,25000,55,1,1,0,1,Rehab City,Cairo,1,1,1,0,0,1,1,1,0,0,0,1,0,0,30.063584,31.4889939
Apartment,35000,250,3,3,4,0,Nasr City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0,30.0521177,31.3422045
Apartment,20000,165,3,2,6,1,Nasr City,Cairo,1,0,1,1,1,1,1,1,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,22000,90,2,1,5,1,Rehab City,Cairo,1,1,1,1,1,1,0,1,1,0,0,0,0,0,30.063584,31.4889939
Apartment,70000,350,4,4,8,0,Nasr City,Cairo,0,0,0,0,0,0,0,1,1,0,0,0,0,0,30.0521177,31.3422045
Apartment,15000,160,3,2,10,0,One Kattameya,Cairo,1,0,0,1,1,0,0,1,0,0,1,0,0,0,29.98060935,31.356154220923457
