HouseType,Price,Size,Bedrooms,Bathrooms,Level,Furnished,Area,City,ElectricityMeter,BuiltinKitchenAppliances,WaterMeter,Elevator,Balcony,NaturalGas,Landline,Security,CentralAC,CoveredParking,PetsAllowed,PrivateGarden,MaidsRoom,Pool
Apartment,15000,160,3,2,10,0,One Kattameya,Cairo,1,0,0,1,1,0,0,1,0,0,1,0,0,0
Apartment,30000,250,3,2,5,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,7500,78,2,1,1,0,Madinaty,Cairo,1,0,1,1,0,0,0,1,0,1,0,0,0,0
Apartment,8000,78,2,1,4,0,Madinaty,Cairo,1,0,1,1,1,1,0,1,0,0,0,0,0,0
Apartment,13000,133,3,2,4,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,45000,230,3,3,3,1,Zamalek,Cairo,1,1,1,1,0,1,1,1,0,0,0,0,0,0
Apartment,18000,104,3,2,2,1,Madinaty,Cairo,1,1,1,1,1,0,0,1,0,0,0,1,0,0
Apartment,25000,200,2,2,6,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,16000,107,2,1,3,1,Madinaty,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,12000,99,2,1,1,0,Rehab City,Cairo,1,0,1,1,1,0,1,1,0,1,1,0,0,0
Apartment,2000,116,3,2,2,1,Madinaty,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Studio,11000,60,2,1,0,1,Madinaty,Cairo,0,0,0,0,1,0,0,1,0,0,0,0,0,0
Apartment,9000,96,2,2,1,0,Madinaty,Cairo,1,0,0,1,0,0,0,1,0,0,0,0,0,0
Apartment,1300,140,3,2,1,1,Madinaty,Cairo,0,1,0,0,1,1,0,0,1,0,1,0,0,0
Apartment,7000,70,2,1,4,1,New Cairo,Cairo,1,1,1,0,1,1,1,0,0,0,0,0,0,0
Apartment,13500,157,3,3,3,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0
Apartment,10000,145,3,1,2,0,Heliopolis,Cairo,0,0,0,0,1,1,0,0,0,0,0,0,0,0
Apartment,11000,185,3,2,8,0,Maadi Gardens,Cairo,1,0,1,1,0,1,0,1,0,0,0,0,0,0
Apartment,16000,96,2,2,5,1,Madinaty,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,0,0
Apartment,10000,120,3,1,1,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,18000,131,3,2,2,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Penthouse,30000,180,3,3,3,0,Fifth Square,Cairo,1,0,1,1,1,1,0,1,1,1,1,0,0,1
Apartment,50000,148,2,2,2,1,Mivida,Cairo,0,1,1,1,1,1,0,1,1,1,0,0,0,1
Apartment,15000,150,2,1,7,1,Nasr City,Cairo,1,0,1,1,1,1,1,0,1,0,0,0,0,0
Apartment,18000,140,3,2,2,1,Al Manial,Cairo,0,1,0,1,1,1,1,0,0,0,1,0,0,0
Apartment,23000,200,3,3,3,0,Fifth Square,Cairo,1,1,1,0,1,1,1,1,1,1,0,0,0,0
Apartment,60000,130,2,2,0,1,Lake view Residence,Cairo,1,1,1,0,1,1,1,1,1,1,0,1,0,0
Apartment,75000,194,3,3,2,1,Eastown,Cairo,1,1,1,0,1,1,0,1,1,1,0,0,1,0
Apartment,25000,280,4,2,1,0,5th Settlement,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,7500,230,3,2,1,0,New Cairo,Cairo,1,0,1,0,0,0,0,1,0,0,0,1,0,0
Apartment,13000,103,3,2,3,0,Madinaty,Cairo,1,0,1,1,1,1,1,0,0,0,0,0,0,0
Apartment,25000,250,4,3,1,0,5th Settlement,Cairo,1,0,1,1,0,1,1,0,0,0,0,0,0,0
Apartment,25000,160,3,1,2,1,Nasr City,Cairo,1,1,1,1,1,1,1,1,1,1,0,0,0,0
Apartment,40000,188,3,3,2,0,New Cairo,Cairo,1,1,1,0,1,1,1,1,1,1,1,0,1,0
Apartment,15000,155,3,3,3,0,Rehab City,Cairo,1,0,1,0,1,1,1,1,0,1,1,0,0,0
Apartment,8000,78,2,1,5,0,Madinaty,Cairo,1,0,0,1,1,0,0,1,0,0,0,0,0,0
Apartment,20000,82,2,1,0,1,Madinaty,Cairo,1,1,1,0,1,1,1,1,1,0,0,0,0,0
Apartment,7000,200,3,2,2,0,5th Settlement,Cairo,1,0,1,0,1,0,1,0,0,0,0,0,0,0
Apartment,8500,160,3,3,1,1,Mostakbal City,Cairo,0,1,0,1,1,0,0,1,1,0,1,0,0,0
Apartment,11000,120,2,1,1,1,Abasiya,Cairo,1,1,1,0,1,0,1,1,1,0,0,0,0,0
Apartment,17000,150,3,2,3,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0
Duplex,22000,350,3,3,0,0,New Cairo,Cairo,0,0,0,0,1,0,0,0,1,0,0,1,0,0
Apartment,1700,75,2,1,2,1,Madinaty,Cairo,1,1,1,1,1,0,1,1,1,1,0,0,0,0
Apartment,20000,120,2,2,2,1,Rehab City,Cairo,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Apartment,10000,90,2,1,4,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,55000,140,2,2,2,1,Cairo Festival City,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,0,1
Apartment,1500,120,2,2,6,1,Sheraton,Cairo,1,1,1,1,1,1,1,0,0,0,0,0,0,0
Apartment,9000,89,2,2,2,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,0
Apartment,16000,220,3,3,1,0,Al Narges,Cairo,1,0,1,1,1,0,1,1,1,1,0,0,0,0
Apartment,35000,250,3,3,3,1,Heliopolis,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,7000,220,3,3,0,0,New Cairo,Cairo,1,0,1,0,0,0,1,1,0,0,0,0,0,0
Apartment,17000,112,3,2,0,0,Rehab City,Cairo,1,0,1,1,1,1,1,1,0,1,1,1,1,0
Apartment,25000,119,3,2,1,1,Rehab City,Cairo,1,0,1,0,1,1,0,1,0,0,0,0,0,0
Apartment,35000,144,2,2,3,0,Lake View,Cairo,1,1,1,1,1,1,1,1,1,1,1,0,1,0
Apartment,50000,130,2,2,3,1,Lake View,Cairo,1,1,1,1,1,1,1,1,0,1,1,0,1,1
Apartment,25000,119,3,3,1,1,Rehab City,Cairo,1,1,1,1,1,1,1,1,0,0,0,1,0,1
Apartment,25000,120,3,1,8,1,Nasr City,Cairo,1,1,1,1,0,1,1,1,1,0,0,0,0,0
Apartment,55000,220,3,4,2,0,Cairo Festival City,Cairo,1,1,1,1,1,1,0,1,1,1,1,0,1,0
Apartment,15000,135,3,2,2,1,Madinaty,Cairo,1,1,1,1,1,1,1,0,1,0,0,0,0,0
Apartment,30000,96,2,1,0,1,Rehab City,Cairo,0,1,1,0,1,1,0,1,0,0,0,0,0,0
Apartment,16500,67,2,1,0,1,Madinaty,Cairo,1,1,1,1,1,1,1,1,1,0,0,0,0,0
Apartment,3000,60,2,1,3,1,Ain Shams,Cairo,1,1,1,0,1,0,0,0,0,0,0,0,0,0
Apartment,16000,150,3,2,2,0,Madinaty,Cairo,1,0,1,1,1,1,1,1,0,0,0,0,0,0
Apartment,26000,90,2,1,2,1,Rehab City,Cairo,1,1,1,0,1,1,0,1,0,0,0,1,0,0
Apartment,29000,186,3,3,3,0,Mivida,Cairo,1,0,1,1,1,1,1,1,0,1,1,0,0,1
Penthouse,30000,19,3,2,4,0,Mountain View Hyde Park,Cairo,1,0,1,1,0,1,0,0,0,0,1,0,0,1
Apartment,7000,170,3,2,4,0,Maadi,Cairo,1,0,1,1,1,0,1,0,0,0,0,0,0,0
